Response ID,Response Parent ID,Response Family ID,Submitted Time (UTC),Synced Time (UTC),Tags,type_of_toilet,name_gp,name_village,name_sub_district,ulb_selection,ulb_selection_target,ulb_selection_ulb,ulb_selection_district,ulb_selection_partner_name,site_loc_s1_latitude,site_loc_s1_longitude,site_loc_s1_accuracy,beneficiary_id_type,toilet_pit_type,pit_yn_s1,image_stage1_pit,additional_image
59cb5dfb-c410-4219-a6e7-5bbe8e48dece,"",59cb5dfb-c410-4219-a6e7-5bbe8e48dece,2018-02-01T05:23:23.488000,2018-02-01T05:23:29.836000,"",1,"","","",aab7b1ee-151b-4329-8273-3f31b370578e,500,Roorkee,Haridwar,GRAVIS,29.8716059,77.856894,3.9,1,2,1,https://xxxxx/WOUFxYzv9zsYYJx3AFCP%2FyL8qo6gHbP4noKrY4Xhe%2FzYEC7dMx5I7rc8asprAp%2F9e50c53b-626c-43fe-9036-2d5b274230ea.jpeg,""
7d4c367d-7526-4f5f-9673-d94ca4c9fd81,"",7d4c367d-7526-4f5f-9673-d94ca4c9fd81,2018-02-02T05:15:21.277000,2018-02-02T05:15:53.204000,"",1,"","","",c68d975c-061c-4d2f-8122-ac0e2fb3be51,809,Piran Kaliyar,Haridwar,VARDAN,29.9205917,77.93868,5.5,1,2,1,https://xxxxx/WOUFxYzv9zsYYJx3AFCP%2FyL8qo6gHbP4noKrY4Xhe%2FmnIoyD3dbuoYnIwSol4q%2F24df4190-eb13-4a50-97f6-eb77fdf86e27.jpeg,https://xxxxx/WOUFxYzv9zsYYJx3AFCP%2Fpv7uR7olBT92Otmc2LCg%2FmnIoyD3dbuoYnIwSol4q%2F67dc6a57-4da9-4c97-9d75-17c3dd61fd9e.jpeg
5de4296a-49fd-4f57-ba3d-f5a176a86fad,"",5de4296a-49fd-4f57-ba3d-f5a176a86fad,2018-02-02T05:53:05.868000,2018-02-02T05:53:14.977000,"",1,"","","",c68d975c-061c-4d2f-8122-ac0e2fb3be51,809,Piran Kaliyar,Haridwar,VARDAN,29.9204,77.9389483,5.6,1,2,1,https://xxxxx/WOUFxYzv9zsYYJx3AFCP%2FyL8qo6gHbP4noKrY4Xhe%2FmnIoyD3dbuoYnIwSol4q%2Fe51243d2-65e8-4c33-a385-e00c2ca3a910.jpeg,""
6a6850f3-f6e6-4d36-a05d-b0d54be958fd,"",6a6850f3-f6e6-4d36-a05d-b0d54be958fd,2018-02-02T11:02:37.425000,2018-02-03T04:01:03.016000,"",1,"","","",aab7b1ee-151b-4329-8273-3f31b370578e,500,Roorkee,Haridwar,GRAVIS,29.8717354,77.8570289,8,1,2,1,https://xxxxx/WOUFxYzv9zsYYJx3AFCP%2FyL8qo6gHbP4noKrY4Xhe%2FzYEC7dMx5I7rc8asprAp%2F09f88127-64eb-4e3d-985a-948ce2b561cf.jpeg,""
d3e87031-a47f-4e4e-a395-366e9e2a64bd,"",d3e87031-a47f-4e4e-a395-366e9e2a64bd,2018-02-03T06:50:59.124000,2018-02-03T06:51:09.024000,"",1,"","","",c09cd9f8-6b0d-4a39-8512-e9edbc8465c1,171,Roorkee,Haridwar,Gramin Takniki Samiti,29.8676533,77.9100283,7.7,1,2,1,https://xxxxx/WOUFxYzv9zsYYJx3AFCP%2FyL8qo6gHbP4noKrY4Xhe%2FalzHxR0TtjKbZEohyKZg%2Fbf586ecd-3ed7-49a3-9f9e-4781783772ca.jpeg,https://xxxxx/WOUFxYzv9zsYYJx3AFCP%2Fpv7uR7olBT92Otmc2LCg%2FalzHxR0TtjKbZEohyKZg%2F065e983f-efd3-4527-b99a-986eeee5880a.jpeg
3b759850-ed8a-4f85-b78d-f728bb4bfbd1,"",3b759850-ed8a-4f85-b78d-f728bb4bfbd1,2018-02-03T07:18:43.441000,2018-02-03T07:18:51.208000,"",1,"","","",c09cd9f8-6b0d-4a39-8512-e9edbc8465c1,171,Roorkee,Haridwar,Gramin Takniki Samiti,29.86805,77.9083917,7.7,1,2,1,https://xxxxx/WOUFxYzv9zsYYJx3AFCP%2FyL8qo6gHbP4noKrY4Xhe%2FalzHxR0TtjKbZEohyKZg%2F532da0f3-0e66-4b8e-b842-9fcb12647b30.jpeg,""
404284fc-5f78-4a37-849f-a106819ef8d5,"",404284fc-5f78-4a37-849f-a106819ef8d5,2018-02-03T08:22:14.528000,2018-02-03T08:22:23.338000,"",1,"","","",899e3c1e-0748-4192-9c69-d505473a78e3,53,Landhaura,Haridwar,LEADERS,29.7996,77.9327067,5.9,1,1,2,https://xxxxx/WOUFxYzv9zsYYJx3AFCP%2FyL8qo6gHbP4noKrY4Xhe%2F7HnlfmlI5cgNOFKQBpGO%2F2cf557cc-d8e9-4e83-aa1f-9e962faa8f5e.jpeg,https://xxxxx/WOUFxYzv9zsYYJx3AFCP%2Fpv7uR7olBT92Otmc2LCg%2F7HnlfmlI5cgNOFKQBpGO%2Fd226dbd5-ec4a-44af-bd06-13173fb0a923.jpeg
3fa8ba63-36d3-4a9c-aeab-2f29e8d73bbd,"",3fa8ba63-36d3-4a9c-aeab-2f29e8d73bbd,2018-02-03T11:22:30.887000,2018-02-03T11:22:41.770000,"",1,"","","",899e3c1e-0748-4192-9c69-d505473a78e3,53,Landhaura,Haridwar,LEADERS,29.7996633,77.9327983,5.1,1,1,1,https://xxxxx/WOUFxYzv9zsYYJx3AFCP%2FyL8qo6gHbP4noKrY4Xhe%2F7HnlfmlI5cgNOFKQBpGO%2Fc6107a07-6e20-4d25-ae78-88f8eb4ff07c.jpeg,https://xxxxx/WOUFxYzv9zsYYJx3AFCP%2Fpv7uR7olBT92Otmc2LCg%2F7HnlfmlI5cgNOFKQBpGO%2F3472fcfb-04f9-4d11-ad8d-c1ddbe3d736e.jpeg
6e40a282-d4e9-42c0-8c5c-1d5b0601714f,"",6e40a282-d4e9-42c0-8c5c-1d5b0601714f,2018-02-04T05:29:01.033000,2018-02-04T05:29:54.446000,"",1,"","","",c68d975c-061c-4d2f-8122-ac0e2fb3be51,809,Piran Kaliyar,Haridwar,VARDAN,29.9247733,77.9406833,5.5,1,2,1,https://xxxxx/WOUFxYzv9zsYYJx3AFCP%2FyL8qo6gHbP4noKrY4Xhe%2FjgzZWSBvznTSI2IRVS1D%2F92405859-4c88-44bb-8871-44cad3de0e01.jpeg,""
e4c2565d-d5a3-4aab-827b-cde525707313,"",e4c2565d-d5a3-4aab-827b-cde525707313,2018-02-04T07:05:52.757000,2018-02-04T07:06:01.981000,"",1,"","","",c68d975c-061c-4d2f-8122-ac0e2fb3be51,809,Piran Kaliyar,Haridwar,VARDAN,29.9240367,77.94053,5.5,1,2,1,https://xxxxx/WOUFxYzv9zsYYJx3AFCP%2FyL8qo6gHbP4noKrY4Xhe%2FjgzZWSBvznTSI2IRVS1D%2Fd85eca83-b0b0-4cca-9874-9dfead1a0e28.jpeg,""
6f291828-5cd3-4671-b6bc-a749da28c712,"",6f291828-5cd3-4671-b6bc-a749da28c712,2018-02-04T07:58:03.058000,2018-02-04T07:58:13.125000,"",1,"","","",c68d975c-061c-4d2f-8122-ac0e2fb3be51,809,Piran Kaliyar,Haridwar,VARDAN,29.92435,77.94058,5.7,1,2,2,https://xxxxx/WOUFxYzv9zsYYJx3AFCP%2FyL8qo6gHbP4noKrY4Xhe%2FjgzZWSBvznTSI2IRVS1D%2Fcb83615e-bbd7-4acb-b2a8-1fe4792bd677.jpeg,""
64b189b3-02b0-4a83-b758-2af4f5312566,"",64b189b3-02b0-4a83-b758-2af4f5312566,2018-02-04T11:55:24.078000,2018-02-04T12:05:49.380000,"",1,"","","",c68d975c-061c-4d2f-8122-ac0e2fb3be51,809,Piran Kaliyar,Haridwar,VARDAN,29.9224617,77.9429833,5.6,1,2,1,https://xxxxx/WOUFxYzv9zsYYJx3AFCP%2FyL8qo6gHbP4noKrY4Xhe%2FjgzZWSBvznTSI2IRVS1D%2F9aefb3f9-c96c-4c67-a84d-a3036791d211.jpeg,""
f75736f2-692a-4d0d-89d4-97b10cc3271f,"",f75736f2-692a-4d0d-89d4-97b10cc3271f,2018-02-05T04:57:21.581000,2018-02-05T04:58:11.737000,"",1,"","","",c68d975c-061c-4d2f-8122-ac0e2fb3be51,809,Piran Kaliyar,Haridwar,VARDAN,29.9325489,77.9270012,8,1,2,1,https://xxxxx/WOUFxYzv9zsYYJx3AFCP%2FyL8qo6gHbP4noKrY4Xhe%2FPpAzkbTCvABzYanHDLyu%2F3ceb3110-049f-44d3-b23f-b8ee98f81a84.jpeg,""
d08bc918-92b2-495a-a754-d8dad07918da,"",d08bc918-92b2-495a-a754-d8dad07918da,2018-02-05T05:22:32.232000,2018-02-05T05:23:03.098000,"",1,"","","",c68d975c-061c-4d2f-8122-ac0e2fb3be51,809,Piran Kaliyar,Haridwar,VARDAN,29.9329198,77.9264796,8,1,2,1,https://xxxxx/WOUFxYzv9zsYYJx3AFCP%2FyL8qo6gHbP4noKrY4Xhe%2FPpAzkbTCvABzYanHDLyu%2Fcf42a262-847d-4009-b1ea-50470c6fef35.jpeg,""
b276f007-24be-466b-a455-e1bcce5ac666,"",b276f007-24be-466b-a455-e1bcce5ac666,2018-02-05T06:43:30.814000,2018-02-05T06:43:38.055000,"",1,"","","",c68d975c-061c-4d2f-8122-ac0e2fb3be51,809,Piran Kaliyar,Haridwar,VARDAN,29.9211933,77.938015,5.2,1,2,2,https://xxxxx/WOUFxYzv9zsYYJx3AFCP%2FyL8qo6gHbP4noKrY4Xhe%2FjgzZWSBvznTSI2IRVS1D%2Fa9a5b43a-c619-4498-a041-416b3496d5a7.jpeg,""
da8f4088-1288-4d66-9ffa-6a2ca4bb1ecd,"",da8f4088-1288-4d66-9ffa-6a2ca4bb1ecd,2018-02-05T07:20:54.672000,2018-02-05T07:21:02.677000,"",1,"","","",c68d975c-061c-4d2f-8122-ac0e2fb3be51,809,Piran Kaliyar,Haridwar,VARDAN,29.921035,77.93762,5.5,1,2,1,https://xxxxx/WOUFxYzv9zsYYJx3AFCP%2FyL8qo6gHbP4noKrY4Xhe%2FjgzZWSBvznTSI2IRVS1D%2F6a59148e-25c2-4882-882d-b97798752983.jpeg,""
67d652b1-8879-4bd2-81d2-a00a8a050714,"",67d652b1-8879-4bd2-81d2-a00a8a050714,2018-02-05T07:44:04.736000,2018-02-05T07:44:28.240000,"",1,"","","",c68d975c-061c-4d2f-8122-ac0e2fb3be51,809,Piran Kaliyar,Haridwar,VARDAN,29.932054,77.9275647,8,1,2,1,https://xxxxx/WOUFxYzv9zsYYJx3AFCP%2FyL8qo6gHbP4noKrY4Xhe%2FPpAzkbTCvABzYanHDLyu%2Fe7fa9d16-81ac-4f4d-ac32-951e0df5cde7.jpeg,""
897138a7-73ee-427e-92f8-a7704b19f2af,"",897138a7-73ee-427e-92f8-a7704b19f2af,2018-02-06T08:15:56.990000,2018-02-06T08:16:04.512000,"",1,"","","",f8b7fdb6-504d-481b-8869-4ed49a8abebb,500,Roorkee,Haridwar,Bhartiya Gramothan Sanstha,29.8818029,77.9138058,9,1,2,1,https://xxxxx/WOUFxYzv9zsYYJx3AFCP%2FyL8qo6gHbP4noKrY4Xhe%2Fhw6wwMfUJMlZyZgFZZAR%2Fb6e8982b-95c6-412f-9aa8-2cce25137a00.jpeg,""
ba94eec7-00e3-4052-8b77-765c51e8d575,"",ba94eec7-00e3-4052-8b77-765c51e8d575,2018-02-06T08:29:31.991000,2018-02-06T08:31:58.671000,"",1,"","","",f8b7fdb6-504d-481b-8869-4ed49a8abebb,500,Roorkee,Haridwar,Bhartiya Gramothan Sanstha,29.881812,77.9138185,6,1,2,1,https://xxxxx/WOUFxYzv9zsYYJx3AFCP%2FyL8qo6gHbP4noKrY4Xhe%2Fhw6wwMfUJMlZyZgFZZAR%2F73c6c805-a659-4789-9b68-4e8402a3be91.jpeg,""
1a559acb-3d50-4788-a266-f017288e868c,"",1a559acb-3d50-4788-a266-f017288e868c,2018-02-06T10:00:27,2018-02-06T10:00:35.523000,"",1,"","","",c68d975c-061c-4d2f-8122-ac0e2fb3be51,809,Piran Kaliyar,Haridwar,VARDAN,29.9189033,77.936945,6.4,1,2,1,https://xxxxx/WOUFxYzv9zsYYJx3AFCP%2FyL8qo6gHbP4noKrY4Xhe%2FjgzZWSBvznTSI2IRVS1D%2F22ab0aeb-2057-4ab8-964b-e73b48399016.jpeg,""
e1984258-bb8e-4756-b75b-a195de38eb0c,"",e1984258-bb8e-4756-b75b-a195de38eb0c,2018-02-06T11:13:19.014000,2018-02-06T11:28:29.943000,"",1,"","","",f8b7fdb6-504d-481b-8869-4ed49a8abebb,500,Roorkee,Haridwar,Bhartiya Gramothan Sanstha,29.8804133,77.9069617,3.9,1,2,1,https://xxxxx/WOUFxYzv9zsYYJx3AFCP%2FyL8qo6gHbP4noKrY4Xhe%2FmRs3hLZ2YgWtJlTX6D5O%2F0c0bfc09-1da2-423d-b491-cb527c8bf880.jpeg,""
f302795e-41d2-4e86-a231-77bbf6e821a8,"",f302795e-41d2-4e86-a231-77bbf6e821a8,2018-02-06T11:56:34.622000,2018-02-06T11:56:45.301000,"",1,"","","",f2c62b7e-57da-42e1-b301-7dfb0ba677e4,350,Haldwani,Nanital,Habitat for Humanity,29.2737017,79.5453117,5.7,1,1,1,https://xxxxx/WOUFxYzv9zsYYJx3AFCP%2FyL8qo6gHbP4noKrY4Xhe%2FH8sQ9IpNz4pN7fwRZKIs%2F01d878e7-a106-4704-bcb6-c9dae1f01a17.jpeg,""
4cb07485-dfa9-4b68-b069-8e1812abbe76,"",4cb07485-dfa9-4b68-b069-8e1812abbe76,2018-02-06T11:58:07.284000,2018-02-06T11:58:15.742000,"",1,"","","",c68d975c-061c-4d2f-8122-ac0e2fb3be51,809,Piran Kaliyar,Haridwar,VARDAN,29.9232717,77.9403867,5.5,1,2,2,https://xxxxx/WOUFxYzv9zsYYJx3AFCP%2FyL8qo6gHbP4noKrY4Xhe%2FjgzZWSBvznTSI2IRVS1D%2Fccdc2562-8596-4e2b-8790-d3a0b2a4c1ee.jpeg,""
ec22a1c0-5b14-4830-898b-724be7adff04,"",ec22a1c0-5b14-4830-898b-724be7adff04,2018-02-07T03:23:09.815000,2018-02-07T03:23:23.123000,"",1,"","","",f8b7fdb6-504d-481b-8869-4ed49a8abebb,500,Roorkee,Haridwar,Bhartiya Gramothan Sanstha,29.8807567,77.90586,3.9,1,2,1,https://xxxxx/WOUFxYzv9zsYYJx3AFCP%2FyL8qo6gHbP4noKrY4Xhe%2FmRs3hLZ2YgWtJlTX6D5O%2F3ddaa009-adca-4ab7-9597-9c0897e05c9f.jpeg,""
44e8c4c3-b0cb-4225-aef4-3131684bee10,"",44e8c4c3-b0cb-4225-aef4-3131684bee10,2018-02-07T04:35:57.883000,2018-02-07T04:40:57.057000,"",1,"","","",f8b7fdb6-504d-481b-8869-4ed49a8abebb,500,Roorkee,Haridwar,Bhartiya Gramothan Sanstha,29.8804115,77.9197808,2000,1,2,2,https://xxxxx/WOUFxYzv9zsYYJx3AFCP%2FyL8qo6gHbP4noKrY4Xhe%2Fhw6wwMfUJMlZyZgFZZAR%2F96fbc0fd-ab02-4e5b-a897-d3f72ba8ada1.jpeg,""
d56ad561-274d-409a-a712-0db53206cb01,"",d56ad561-274d-409a-a712-0db53206cb01,2018-02-07T04:54:06.012000,2018-02-07T04:54:33.082000,"",1,"","","",f8b7fdb6-504d-481b-8869-4ed49a8abebb,500,Roorkee,Haridwar,Bhartiya Gramothan Sanstha,29.8800117,77.90585,4.7,1,2,1,https://xxxxx/WOUFxYzv9zsYYJx3AFCP%2FyL8qo6gHbP4noKrY4Xhe%2FmRs3hLZ2YgWtJlTX6D5O%2Fc705a680-8dc1-48a5-97bd-10d703ff4e4e.jpeg,""
8abb7ec3-fcea-474e-8ea1-d89196d40bfd,"",8abb7ec3-fcea-474e-8ea1-d89196d40bfd,2018-02-07T04:50:22.996000,2018-02-07T04:58:17.577000,"",1,"","","",f8b7fdb6-504d-481b-8869-4ed49a8abebb,500,Roorkee,Haridwar,Bhartiya Gramothan Sanstha,29.8816079,77.9145701,6,1,2,1,https://xxxxx/WOUFxYzv9zsYYJx3AFCP%2FyL8qo6gHbP4noKrY4Xhe%2Fhw6wwMfUJMlZyZgFZZAR%2F63e6ec3f-5b98-481b-88c6-a1d7743a76dd.jpeg,""
9dac8f02-767f-4c69-95c5-11886457a650,"",9dac8f02-767f-4c69-95c5-11886457a650,2018-02-07T05:27:46.197000,2018-02-07T05:28:01.625000,"",1,"","","",f8b7fdb6-504d-481b-8869-4ed49a8abebb,500,Roorkee,Haridwar,Bhartiya Gramothan Sanstha,29.880245,77.9060817,3.9,1,2,1,https://xxxxx/WOUFxYzv9zsYYJx3AFCP%2FyL8qo6gHbP4noKrY4Xhe%2FmRs3hLZ2YgWtJlTX6D5O%2F2c5242fd-8174-411e-a7f5-2cbab6bfab3f.jpeg,""
e3c2fe72-6ce5-4d49-9ac3-c9f2446f9e1e,"",e3c2fe72-6ce5-4d49-9ac3-c9f2446f9e1e,2018-02-07T05:52:21.797000,2018-02-07T05:54:06.709000,"",1,"","","",f2c62b7e-57da-42e1-b301-7dfb0ba677e4,350,Haldwani,Nanital,Habitat for Humanity,29.2429122,79.5248855,9,1,2,1,https://xxxxx/WOUFxYzv9zsYYJx3AFCP%2FyL8qo6gHbP4noKrY4Xhe%2FEEcRJayGrCpwepdXiWSQ%2Facf6972a-731a-4fb3-93bb-1e8c89239800.jpeg,""
ebfe54c1-1e57-45b2-8403-5da88a88c8c5,"",ebfe54c1-1e57-45b2-8403-5da88a88c8c5,2018-02-07T05:55:10.560000,2018-02-07T05:55:20.990000,"",1,"","","",f2c62b7e-57da-42e1-b301-7dfb0ba677e4,350,Haldwani,Nanital,Habitat for Humanity,29.2704283,79.5428417,6.8,1,1,1,https://xxxxx/WOUFxYzv9zsYYJx3AFCP%2FyL8qo6gHbP4noKrY4Xhe%2FH8sQ9IpNz4pN7fwRZKIs%2Feb17828a-e018-466c-8e60-5a81402d0034.jpeg,https://xxxxx/WOUFxYzv9zsYYJx3AFCP%2Fpv7uR7olBT92Otmc2LCg%2FH8sQ9IpNz4pN7fwRZKIs%2Ff598b68f-d5ba-41b9-b990-bb6dbebf17a5.jpeg
