,apmc,commodity,year,month,arrivals_in_qtl,min_price,max_price,modal_price,date,district_name,state_name,monthnum,type,msprice,msp_filter,apmc_comd
19990,Ahmedpur,safflower,2016,January,3,2050.0,2050.0,2050.0,2016-01,Latur,Maharashtra,1,Rabi Crops,3300.0,1,safflower_Ahmedpur
19985,Ahmedpur,safflower,2016,February,42,2555.0,2558.0,2558.0,2016-02,Latur,Maharashtra,2,Rabi Crops,3300.0,1,safflower_Ahmedpur
20001,Ahmedpur,safflower,2016,March,10,2384.0,2451.0,2451.0,2016-03,Latur,Maharashtra,3,Rabi Crops,3300.0,1,safflower_Ahmedpur
19976,Ahmedpur,safflower,2016,April,9,2463.0,2463.0,2463.0,2016-04,Latur,Maharashtra,4,Rabi Crops,3300.0,1,safflower_Ahmedpur
15956,Ahmedpur,safflower,2015,June,2,2300.0,2300.0,2300.0,2015-06,Latur,Maharashtra,6,Rabi Crops,3300.0,1,safflower_Ahmedpur
15954,Ahmedpur,safflower,2015,July,2,2175.0,2175.0,2175.0,2015-07,Latur,Maharashtra,7,Rabi Crops,3300.0,1,safflower_Ahmedpur
19994,Ahmedpur,safflower,2016,July,4,2100.0,2100.0,2100.0,2016-07,Latur,Maharashtra,7,Rabi Crops,3300.0,1,safflower_Ahmedpur
15945,Ahmedpur,safflower,2015,August,2,2376.0,2376.0,2376.0,2015-08,Latur,Maharashtra,8,Rabi Crops,3300.0,1,safflower_Ahmedpur
19981,Ahmedpur,safflower,2016,August,1,2350.0,2350.0,2350.0,2016-08,Latur,Maharashtra,8,Rabi Crops,3300.0,1,safflower_Ahmedpur
15971,Ahmedpur,safflower,2015,September,2,2301.0,2301.0,2301.0,2015-09,Latur,Maharashtra,9,Rabi Crops,3300.0,1,safflower_Ahmedpur
15968,Ahmedpur,safflower,2015,October,15,2520.0,2520.0,2520.0,2015-10,Latur,Maharashtra,10,Rabi Crops,3300.0,1,safflower_Ahmedpur
15962,Ahmedpur,safflower,2015,November,12,2451.0,2451.0,2451.0,2015-11,Latur,Maharashtra,11,Rabi Crops,3300.0,1,safflower_Ahmedpur
20087,Ahmedpur,safflower,2016,November,2,2700.0,2700.0,2700.0,2016-11,Latur,Maharashtra,11,Rabi Crops,3300.0,1,safflower_Ahmedpur
20102,Ahmedpur,safflower,2014,November,2,2201.0,2351.0,2276.0,2014-11,Latur,Maharashtra,11,Rabi Crops,3050.0,1,safflower_Ahmedpur
15947,Ahmedpur,safflower,2015,December,18,2350.0,2412.0,2412.0,2015-12,Latur,Maharashtra,12,Rabi Crops,3300.0,1,safflower_Ahmedpur
15887,Akola,safflower,2015,February,20,1800.0,1800.0,1800.0,2015-02,Akola,Maharashtra,2,Rabi Crops,3300.0,1,safflower_Akola
19923,Akola,safflower,2016,February,32,1850.0,1875.0,1875.0,2016-02,Akola,Maharashtra,2,Rabi Crops,3300.0,1,safflower_Akola
15890,Akola,safflower,2015,March,6,2400.0,2400.0,2400.0,2015-03,Akola,Maharashtra,3,Rabi Crops,3300.0,1,safflower_Akola
19924,Akola,safflower,2016,March,179,1975.0,2161.0,2061.0,2016-03,Akola,Maharashtra,3,Rabi Crops,3300.0,1,safflower_Akola
15885,Akola,safflower,2015,April,100,2358.0,2442.0,2392.0,2015-04,Akola,Maharashtra,4,Rabi Crops,3300.0,1,safflower_Akola
19926,Akola,safflower,2016,May,28,1811.0,1811.0,1811.0,2016-05,Akola,Maharashtra,5,Rabi Crops,3300.0,1,safflower_Akola
15889,Akola,safflower,2015,June,11,2250.0,2250.0,2250.0,2015-06,Akola,Maharashtra,6,Rabi Crops,3300.0,1,safflower_Akola
15893,Akola,safflower,2015,November,1,2100.0,2100.0,2100.0,2015-11,Akola,Maharashtra,11,Rabi Crops,3300.0,1,safflower_Akola
20084,Akola,safflower,2016,November,26,2067.0,2067.0,2067.0,2016-11,Akola,Maharashtra,11,Rabi Crops,3300.0,1,safflower_Akola
15912,Ambejogai,safflower,2015,February,1,2450.0,2450.0,2450.0,2015-02,Beed,Maharashtra,2,Rabi Crops,3300.0,1,safflower_Ambejogai
15914,Ambejogai,safflower,2015,March,13,2474.0,2498.0,2486.0,2015-03,Beed,Maharashtra,3,Rabi Crops,3300.0,1,safflower_Ambejogai
15908,Ambejogai,safflower,2015,April,11,2363.0,2488.0,2453.0,2015-04,Beed,Maharashtra,4,Rabi Crops,3300.0,1,safflower_Ambejogai
15917,Ambejogai,safflower,2015,May,3,2100.0,2400.0,2300.0,2015-05,Beed,Maharashtra,5,Rabi Crops,3300.0,1,safflower_Ambejogai
20095,Ambejogai,safflower,2014,September,18,2715.0,2718.0,2715.0,2014-09,Beed,Maharashtra,9,Rabi Crops,3050.0,1,safflower_Ambejogai
20094,Ambejogai,safflower,2014,October,5,2250.0,2300.0,2283.0,2014-10,Beed,Maharashtra,10,Rabi Crops,3050.0,1,safflower_Ambejogai
20093,Ambejogai,safflower,2014,December,5,2400.0,2400.0,2400.0,2014-12,Beed,Maharashtra,12,Rabi Crops,3050.0,1,safflower_Ambejogai
19997,Aurad Shahajani,safflower,2016,June,14,2700.0,2771.0,2735.0,2016-06,Latur,Maharashtra,6,Rabi Crops,3300.0,1,safflower_Aurad Shahajani
15953,Ausa,safflower,2015,January,16,2299.0,2509.0,2396.0,2015-01,Latur,Maharashtra,1,Rabi Crops,3300.0,1,safflower_Ausa
19991,Ausa,safflower,2016,January,35,2591.0,2806.0,2688.0,2016-01,Latur,Maharashtra,1,Rabi Crops,3300.0,1,safflower_Ausa
15951,Ausa,safflower,2015,February,19,2451.0,2626.0,2526.0,2015-02,Latur,Maharashtra,2,Rabi Crops,3300.0,1,safflower_Ausa
19986,Ausa,safflower,2016,February,121,2635.0,2813.0,2725.0,2016-02,Latur,Maharashtra,2,Rabi Crops,3300.0,1,safflower_Ausa
15959,Ausa,safflower,2015,March,330,2448.0,2616.0,2549.0,2015-03,Latur,Maharashtra,3,Rabi Crops,3300.0,1,safflower_Ausa
20002,Ausa,safflower,2016,March,189,2476.0,2697.0,2625.0,2016-03,Latur,Maharashtra,3,Rabi Crops,3300.0,1,safflower_Ausa
15944,Ausa,safflower,2015,April,250,2504.0,2681.0,2623.0,2015-04,Latur,Maharashtra,4,Rabi Crops,3300.0,1,safflower_Ausa
19977,Ausa,safflower,2016,April,147,2644.0,2810.0,2749.0,2016-04,Latur,Maharashtra,4,Rabi Crops,3300.0,1,safflower_Ausa
15960,Ausa,safflower,2015,May,156,2535.0,2680.0,2617.0,2015-05,Latur,Maharashtra,5,Rabi Crops,3300.0,1,safflower_Ausa
20007,Ausa,safflower,2016,May,86,2702.0,2874.0,2797.0,2016-05,Latur,Maharashtra,5,Rabi Crops,3300.0,1,safflower_Ausa
15957,Ausa,safflower,2015,June,78,2432.0,2560.0,2516.0,2015-06,Latur,Maharashtra,6,Rabi Crops,3300.0,1,safflower_Ausa
19998,Ausa,safflower,2016,June,21,2631.0,2761.0,2695.0,2016-06,Latur,Maharashtra,6,Rabi Crops,3300.0,1,safflower_Ausa
15955,Ausa,safflower,2015,July,26,2397.0,2439.0,2419.0,2015-07,Latur,Maharashtra,7,Rabi Crops,3300.0,1,safflower_Ausa
19995,Ausa,safflower,2016,July,7,2606.0,2801.0,2726.0,2016-07,Latur,Maharashtra,7,Rabi Crops,3300.0,1,safflower_Ausa
15946,Ausa,safflower,2015,August,29,2227.0,2481.0,2419.0,2015-08,Latur,Maharashtra,8,Rabi Crops,3300.0,1,safflower_Ausa
19982,Ausa,safflower,2016,August,32,2552.0,2737.0,2654.0,2016-08,Latur,Maharashtra,8,Rabi Crops,3300.0,1,safflower_Ausa
15972,Ausa,safflower,2015,September,26,2407.0,2507.0,2476.0,2015-09,Latur,Maharashtra,9,Rabi Crops,3300.0,1,safflower_Ausa
20012,Ausa,safflower,2016,September,28,2671.0,2793.0,2726.0,2016-09,Latur,Maharashtra,9,Rabi Crops,3300.0,1,safflower_Ausa
20107,Ausa,safflower,2014,September,69,2342.0,2514.0,2456.0,2014-09,Latur,Maharashtra,9,Rabi Crops,3050.0,1,safflower_Ausa
15969,Ausa,safflower,2015,October,7,2551.0,2711.0,2651.0,2015-10,Latur,Maharashtra,10,Rabi Crops,3300.0,1,safflower_Ausa
20105,Ausa,safflower,2014,October,84,2287.0,2386.0,2336.0,2014-10,Latur,Maharashtra,10,Rabi Crops,3050.0,1,safflower_Ausa
15963,Ausa,safflower,2015,November,31,2560.0,2690.0,2654.0,2015-11,Latur,Maharashtra,11,Rabi Crops,3300.0,1,safflower_Ausa
20088,Ausa,safflower,2016,November,11,2669.0,2806.0,2724.0,2016-11,Latur,Maharashtra,11,Rabi Crops,3300.0,1,safflower_Ausa
20103,Ausa,safflower,2014,November,26,2286.0,2460.0,2367.0,2014-11,Latur,Maharashtra,11,Rabi Crops,3050.0,1,safflower_Ausa
15948,Ausa,safflower,2015,December,18,2654.0,2853.0,2760.0,2015-12,Latur,Maharashtra,12,Rabi Crops,3300.0,1,safflower_Ausa
20101,Ausa,safflower,2014,December,25,2341.0,2397.0,2368.0,2014-12,Latur,Maharashtra,12,Rabi Crops,3050.0,1,safflower_Ausa
20062,Baramati,safflower,2016,February,1,2800.0,2800.0,2800.0,2016-02,Pune,Maharashtra,2,Rabi Crops,3300.0,1,safflower_Baramati
20065,Baramati,safflower,2016,March,4,2900.0,2900.0,2900.0,2016-03,Pune,Maharashtra,3,Rabi Crops,3300.0,1,safflower_Baramati
16013,Baramati,safflower,2015,May,2,2800.0,2800.0,2800.0,2015-05,Pune,Maharashtra,5,Rabi Crops,3300.0,1,safflower_Baramati
16011,Baramati,safflower,2015,June,1,2200.0,2200.0,2200.0,2015-06,Pune,Maharashtra,6,Rabi Crops,3300.0,1,safflower_Baramati
16014,Baramati,safflower,2015,September,19,2951.0,2951.0,2951.0,2015-09,Pune,Maharashtra,9,Rabi Crops,3300.0,1,safflower_Baramati
20073,Barshi,safflower,2016,January,31,2600.0,2750.0,2600.0,2016-01,Solapur,Maharashtra,1,Rabi Crops,3300.0,1,safflower_Barshi
16018,Barshi,safflower,2015,March,3,2525.0,2525.0,2525.0,2015-03,Solapur,Maharashtra,3,Rabi Crops,3300.0,1,safflower_Barshi
20070,Barshi,safflower,2016,April,8,2550.0,2550.0,2550.0,2016-04,Solapur,Maharashtra,4,Rabi Crops,3300.0,1,safflower_Barshi
20079,Barshi,safflower,2016,May,11,2825.0,2825.0,2825.0,2016-05,Solapur,Maharashtra,5,Rabi Crops,3300.0,1,safflower_Barshi
20076,Barshi,safflower,2016,June,26,2925.0,2925.0,2925.0,2016-06,Solapur,Maharashtra,6,Rabi Crops,3300.0,1,safflower_Barshi
16020,Barshi,safflower,2015,October,15,2756.0,2756.0,2756.0,2015-10,Solapur,Maharashtra,10,Rabi Crops,3300.0,1,safflower_Barshi
20080,Barshi,safflower,2016,October,2,2600.0,2600.0,2600.0,2016-10,Solapur,Maharashtra,10,Rabi Crops,3300.0,1,safflower_Barshi
16019,Barshi,safflower,2015,November,3,2775.0,2775.0,2775.0,2015-11,Solapur,Maharashtra,11,Rabi Crops,3300.0,1,safflower_Barshi
20074,Barshi-Vairag,safflower,2016,January,1,2310.0,2310.0,2310.0,2016-01,Solapur,Maharashtra,1,Rabi Crops,3300.0,1,safflower_Barshi-Vairag
20072,Barshi-Vairag,safflower,2016,February,1,2425.0,2425.0,2425.0,2016-02,Solapur,Maharashtra,2,Rabi Crops,3300.0,1,safflower_Barshi-Vairag
20078,Barshi-Vairag,safflower,2016,March,4,2345.0,2345.0,2345.0,2016-03,Solapur,Maharashtra,3,Rabi Crops,3300.0,1,safflower_Barshi-Vairag
20071,Barshi-Vairag,safflower,2016,April,2,2400.0,2400.0,2400.0,2016-04,Solapur,Maharashtra,4,Rabi Crops,3300.0,1,safflower_Barshi-Vairag
20077,Barshi-Vairag,safflower,2016,June,1,2311.0,2311.0,2311.0,2016-06,Solapur,Maharashtra,6,Rabi Crops,3300.0,1,safflower_Barshi-Vairag
16017,Barshi-Vairag,safflower,2015,July,3,3000.0,3000.0,3000.0,2015-07,Solapur,Maharashtra,7,Rabi Crops,3300.0,1,safflower_Barshi-Vairag
20075,Barshi-Vairag,safflower,2016,July,1,2450.0,2450.0,2450.0,2016-07,Solapur,Maharashtra,7,Rabi Crops,3300.0,1,safflower_Barshi-Vairag
20081,Barshi-Vairag,safflower,2016,October,1,2000.0,2000.0,2000.0,2016-10,Solapur,Maharashtra,10,Rabi Crops,3300.0,1,safflower_Barshi-Vairag
20130,Barshi-Vairag,safflower,2014,November,4,2331.0,2331.0,2331.0,2014-11,Solapur,Maharashtra,11,Rabi Crops,3050.0,1,safflower_Barshi-Vairag
20059,Bori,safflower,2016,October,1,2300.0,2300.0,2300.0,2016-10,Parbhani,Maharashtra,10,Rabi Crops,3300.0,1,safflower_Bori
20083,Bori,safflower,2016,November,3,2200.0,2200.0,2200.0,2016-11,Parbhani,Maharashtra,11,Rabi Crops,3300.0,1,safflower_Bori
19928,Daryapur,safflower,2016,March,9,2100.0,2100.0,2100.0,2016-03,Amaravathi,Maharashtra,3,Rabi Crops,3300.0,1,safflower_Daryapur
15895,Daryapur,safflower,2015,June,6,2100.0,2100.0,2100.0,2015-06,Amaravathi,Maharashtra,6,Rabi Crops,3300.0,1,safflower_Daryapur
19927,Daryapur,safflower,2016,June,33,1800.0,1800.0,1800.0,2016-06,Amaravathi,Maharashtra,6,Rabi Crops,3300.0,1,safflower_Daryapur
15894,Daryapur,safflower,2015,July,12,2412.0,2412.0,2412.0,2015-07,Amaravathi,Maharashtra,7,Rabi Crops,3300.0,1,safflower_Daryapur
20089,Devani,safflower,2016,November,1,2600.0,2600.0,2600.0,2016-11,Latur,Maharashtra,11,Rabi Crops,3300.0,1,safflower_Devani
15949,Devani,safflower,2015,December,1,2680.0,2680.0,2680.0,2015-12,Latur,Maharashtra,12,Rabi Crops,3300.0,1,safflower_Devani
15913,Gevrai,safflower,2015,January,2,2101.0,2101.0,2101.0,2015-01,Beed,Maharashtra,1,Rabi Crops,3300.0,1,safflower_Gevrai
15915,Gevrai,safflower,2015,March,1,1500.0,2000.0,1800.0,2015-03,Beed,Maharashtra,3,Rabi Crops,3300.0,1,safflower_Gevrai
19952,Gevrai,safflower,2016,March,41,2154.0,2212.0,2194.0,2016-03,Beed,Maharashtra,3,Rabi Crops,3300.0,1,safflower_Gevrai
15909,Gevrai,safflower,2015,April,2,2050.0,2050.0,2050.0,2015-04,Beed,Maharashtra,4,Rabi Crops,3300.0,1,safflower_Gevrai
19945,Gevrai,safflower,2016,April,20,2222.0,2259.0,2247.0,2016-04,Beed,Maharashtra,4,Rabi Crops,3300.0,1,safflower_Gevrai
15918,Gevrai,safflower,2015,May,11,2200.0,2200.0,2200.0,2015-05,Beed,Maharashtra,5,Rabi Crops,3300.0,1,safflower_Gevrai
19955,Gevrai,safflower,2016,May,20,2290.0,2316.0,2293.0,2016-05,Beed,Maharashtra,5,Rabi Crops,3300.0,1,safflower_Gevrai
19951,Gevrai,safflower,2016,June,9,2059.0,2059.0,2059.0,2016-06,Beed,Maharashtra,6,Rabi Crops,3300.0,1,safflower_Gevrai
15910,Gevrai,safflower,2015,August,1,2400.0,2400.0,2400.0,2015-08,Beed,Maharashtra,8,Rabi Crops,3300.0,1,safflower_Gevrai
19948,Gevrai,safflower,2016,August,2,2650.0,2650.0,2650.0,2016-08,Beed,Maharashtra,8,Rabi Crops,3300.0,1,safflower_Gevrai
15921,Gevrai,safflower,2015,October,4,2748.0,2748.0,2748.0,2015-10,Beed,Maharashtra,10,Rabi Crops,3300.0,1,safflower_Gevrai
20066,Indapur,safflower,2016,March,1,2551.0,2551.0,2551.0,2016-03,Pune,Maharashtra,3,Rabi Crops,3300.0,1,safflower_Indapur
20067,Indapur,safflower,2016,May,2,3050.0,3050.0,3050.0,2016-05,Pune,Maharashtra,5,Rabi Crops,3300.0,1,safflower_Indapur
16010,Indapur-Bhigwan,safflower,2015,April,2,2950.0,2950.0,2950.0,2015-04,Pune,Maharashtra,4,Rabi Crops,3300.0,1,safflower_Indapur-Bhigwan
20068,Indapur-Bhigwan,safflower,2016,May,2,2551.0,2551.0,2551.0,2016-05,Pune,Maharashtra,5,Rabi Crops,3300.0,1,safflower_Indapur-Bhigwan
16012,Indapur-Bhigwan,safflower,2015,June,1,1500.0,1500.0,1500.0,2015-06,Pune,Maharashtra,6,Rabi Crops,3300.0,1,safflower_Indapur-Bhigwan
20063,Indapur-Bhigwan,safflower,2016,June,1,2500.0,2500.0,2500.0,2016-06,Pune,Maharashtra,6,Rabi Crops,3300.0,1,safflower_Indapur-Bhigwan
16015,Indapur-Bhigwan,safflower,2015,September,1,2600.0,2600.0,2600.0,2015-09,Pune,Maharashtra,9,Rabi Crops,3300.0,1,safflower_Indapur-Bhigwan
20069,Indapur-Bhigwan,safflower,2016,September,2,2851.0,2851.0,2851.0,2016-09,Pune,Maharashtra,9,Rabi Crops,3300.0,1,safflower_Indapur-Bhigwan
