,apmc,commodity,year,month,arrivals_in_qtl,min_price,max_price,modal_price,date,district_name,state_name,monthnum,type,msprice,msp_filter,apmc_comd
4,Pune,bajri,2015,January,1255,1668.0,2009.0,1839.0,2015-01,Pune,Maharashtra,1,Kharif Crops,1275.0,1,bajri_Pune
15,Pune,bajri,2016,January,1129,1760.0,2070.0,1988.0,2016-01,Pune,Maharashtra,1,Kharif Crops,1330.0,1,bajri_Pune
3,Pune,bajri,2015,February,341,1768.0,2014.0,1891.0,2015-02,Pune,Maharashtra,2,Kharif Crops,1275.0,1,bajri_Pune
14,Pune,bajri,2016,February,1742,1879.0,2111.0,2044.0,2016-02,Pune,Maharashtra,2,Kharif Crops,1330.0,1,bajri_Pune
7,Pune,bajri,2015,March,135,1720.0,1975.0,1848.0,2015-03,Pune,Maharashtra,3,Kharif Crops,1275.0,1,bajri_Pune
18,Pune,bajri,2016,March,1711,1986.0,2193.0,2137.0,2016-03,Pune,Maharashtra,3,Kharif Crops,1330.0,1,bajri_Pune
0,Pune,bajri,2015,April,146,1819.0,2069.0,1944.0,2015-04,Pune,Maharashtra,4,Kharif Crops,1275.0,1,bajri_Pune
12,Pune,bajri,2016,April,576,2155.0,2282.0,2251.0,2016-04,Pune,Maharashtra,4,Kharif Crops,1330.0,1,bajri_Pune
8,Pune,bajri,2015,May,70,1657.0,1904.0,1781.0,2015-05,Pune,Maharashtra,5,Kharif Crops,1275.0,1,bajri_Pune
19,Pune,bajri,2016,May,3292,2143.0,2286.0,2251.0,2016-05,Pune,Maharashtra,5,Kharif Crops,1330.0,1,bajri_Pune
6,Pune,bajri,2015,June,114,1628.0,1887.0,1767.0,2015-06,Pune,Maharashtra,6,Kharif Crops,1275.0,1,bajri_Pune
17,Pune,bajri,2016,June,4031,2098.0,2286.0,2229.0,2016-06,Pune,Maharashtra,6,Kharif Crops,1330.0,1,bajri_Pune
5,Pune,bajri,2015,July,521,1688.0,1935.0,1865.0,2015-07,Pune,Maharashtra,7,Kharif Crops,1275.0,1,bajri_Pune
16,Pune,bajri,2016,July,1473,2156.0,2351.0,2297.0,2016-07,Pune,Maharashtra,7,Kharif Crops,1330.0,1,bajri_Pune
1,Pune,bajri,2015,August,181,1871.0,2054.0,1996.0,2015-08,Pune,Maharashtra,8,Kharif Crops,1275.0,1,bajri_Pune
